Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-10-06,158.45,161.45,156.0,158.25,158.93,1140490.0,5397.0,181259463.0,193555.0,16.97,5.45,-0.2
2016-10-05,156.0,159.2,155.9,157.0,157.77,3447136.0,8319.0,543847038.0,1858080.0,53.9,3.3,1.0
2016-10-04,154.95,157.5,152.4,154.55,154.3,3609722.0,6478.0,556962428.0,1974388.0,54.7,5.1,-0.4
2016-10-03,153.9,155.05,152.7,154.1,153.69,2149184.0,4759.0,330298929.0,1022246.0,47.56,2.35,0.2
2016-09-30,147.9,154.35,146.4,152.85,151.42,847770.0,3576.0,128369787.0,62200.0,7.34,7.95,4.95
2016-09-29,157.05,157.9,147.9,150.1,152.76,874099.0,4255.0,133524026.0,167659.0,19.18,10.0,-6.95
2016-09-28,149.6,157.9,148.55,156.1,153.16,1745475.0,5688.0,267336598.0,821168.0,47.05,9.35,6.5
2016-09-27,153.5,155.2,149.4,149.8,152.47,1151765.0,3935.0,175604889.0,115751.0,10.05,5.8,-3.7
2016-09-26,153.9,155.15,152.1,153.15,153.46,606820.0,2848.0,93124464.0,165180.0,27.22,3.05,-0.75
2016-09-23,154.5,156.65,153.05,154.0,154.51,2441178.0,5902.0,377178994.0,1254867.0,51.4,3.6,-0.5
2016-09-22,157.9,157.9,152.0,154.05,153.8,1897436.0,7945.0,291826933.0,782227.0,41.23,5.9,-3.85
2016-09-21,146.0,151.0,144.8,149.1,149.3,1026099.0,6100.0,153198920.0,145823.0,14.21,6.2,3.1
2016-09-20,143.05,146.2,142.65,145.35,144.99,563230.0,3591.0,81662724.0,101735.0,18.06,3.55,2.3
2016-09-19,142.15,144.6,141.75,144.0,143.71,998564.0,2964.0,143502708.0,650584.0,65.15,2.85,1.85
2016-09-16,146.6,147.75,142.15,142.95,145.06,615559.0,3040.0,89290641.0,91970.0,14.94,5.6,-3.65
2016-09-15,145.1,145.95,141.2,145.2,143.99,839120.0,4239.0,120822416.0,103224.0,12.3,4.75,0.1
2016-09-14,140.75,143.8,138.75,143.25,141.72,1302322.0,6232.0,184564619.0,183640.0,14.1,5.05,2.5
2016-09-12,152.0,152.0,140.1,140.8,145.06,1752312.0,11346.0,254183835.0,410624.0,23.43,11.9,-11.2
2016-09-09,162.25,163.0,154.1,154.7,158.3,873271.0,4872.0,138242560.0,244403.0,27.99,8.9,-7.55
2016-09-08,159.1,163.4,159.1,161.95,161.9,1494693.0,7829.0,241986531.0,342172.0,22.89,4.3,2.85
2016-09-07,159.0,161.75,158.3,159.8,160.1,842644.0,4490.0,134903128.0,138062.0,16.38,3.45,0.8
2016-09-06,156.0,159.9,156.0,158.5,158.48,979144.0,3368.0,155179602.0,403233.0,41.18,3.9,2.5
2016-09-02,158.0,158.9,154.65,157.35,156.47,574405.0,2625.0,89878824.0,103428.0,18.01,4.25,-0.65
2016-09-01,159.6,160.55,156.7,157.65,158.09,690002.0,4501.0,109082923.0,100721.0,14.6,3.85,-1.95
2016-08-31,163.0,164.7,158.6,159.7,162.72,1273764.0,12924.0,207265300.0,450557.0,35.37,6.1,-3.3
2016-08-30,159.5,163.5,159.0,162.75,161.18,1173680.0,10188.0,189171942.0,460789.0,39.26,4.5,3.25
2016-08-29,155.2,159.7,154.6,158.35,157.21,746379.0,6447.0,117335645.0,228655.0,30.64,5.1,3.15
2016-08-26,154.25,156.9,154.2,155.1,155.4,1303799.0,5072.0,202609167.0,620256.0,47.57,2.7,0.85
2016-08-25,157.0,157.7,153.5,154.25,156.24,459334.0,4040.0,71764412.0,144941.0,31.55,4.2,-2.75
2016-08-24,156.0,157.45,155.4,156.9,156.54,546274.0,3490.0,85515095.0,101275.0,18.54,2.05,0.9
2016-08-23,155.6,156.9,153.75,155.35,155.39,574608.0,3059.0,89287483.0,137664.0,23.96,3.15,-0.25
2016-08-22,158.6,158.6,155.3,156.0,156.26,621832.0,3376.0,97167703.0,104852.0,16.86,3.3,-2.6
2016-08-19,156.0,159.25,156.0,158.45,158.06,2026970.0,8323.0,320374291.0,738833.0,36.45,3.25,2.45
2016-08-18,156.0,157.0,153.85,154.25,154.79,1587045.0,4922.0,245656426.0,658477.0,41.49,3.15,-1.75
2016-08-17,154.4,156.65,153.9,155.9,155.62,1449770.0,7032.0,225614966.0,314820.0,21.72,2.75,1.5
2016-08-16,146.2,155.0,146.2,154.2,151.45,1856575.0,10688.0,281184166.0,403170.0,21.72,8.8,8.0
2016-08-12,143.7,148.9,143.0,146.2,146.65,2656416.0,13009.0,389575770.0,335515.0,12.63,5.9,2.5
2016-08-11,145.1,145.95,138.6,142.25,141.92,1000674.0,4027.0,142018593.0,322656.0,32.24,7.35,-2.85
2016-08-10,147.45,149.1,144.45,145.75,146.52,671017.0,3529.0,98314954.0,95543.0,14.24,4.65,-1.7
2016-08-09,149.9,150.25,145.4,146.35,147.21,844025.0,4362.0,124252332.0,237323.0,28.12,4.85,-3.55
2016-08-08,146.0,151.9,145.7,149.1,149.76,2793752.0,10322.0,418384153.0,1060409.0,37.96,6.2,3.1
2016-08-05,139.0,144.45,138.5,143.8,141.74,1445709.0,7865.0,204912502.0,420623.0,29.09,5.95,4.8
2016-08-04,136.8,137.85,135.3,137.05,136.53,1828769.0,4283.0,249681298.0,811735.0,44.39,2.55,0.25
2016-08-03,135.1,136.8,133.15,135.2,134.71,1193957.0,4247.0,160842185.0,472875.0,39.61,3.65,0.1
2016-08-02,136.2,138.15,134.4,135.1,136.34,1405259.0,5002.0,191594819.0,523534.0,37.26,3.75,-1.1
2016-08-01,135.0,138.5,133.85,136.65,136.48,2385058.0,8612.0,325501713.0,1122502.0,47.06,4.65,1.65
2016-07-29,135.4,135.65,132.1,133.45,133.99,1464540.0,3931.0,196238736.0,655219.0,44.74,3.55,-1.95
2016-07-28,134.0,135.45,132.0,133.75,133.64,1656874.0,5096.0,221427436.0,756864.0,45.68,3.45,-0.25
2016-07-27,132.85,134.5,130.9,133.3,132.58,2624972.0,6216.0,348011640.0,1430185.0,54.48,3.6,0.45
2016-07-26,134.65,136.75,130.9,131.75,134.13,1387352.0,5096.0,186087481.0,576741.0,41.57,5.85,-2.9
2016-07-25,136.1,136.8,133.85,134.95,135.12,1989676.0,4567.0,268846411.0,898788.0,45.17,2.95,-1.15
2016-07-22,133.4,136.75,130.3,135.9,134.54,2359374.0,7529.0,317433068.0,564561.0,23.93,6.45,2.5
2016-07-21,136.05,137.45,133.1,133.55,134.79,1735944.0,6032.0,233995725.0,576982.0,33.24,4.35,-2.5
2016-07-20,138.95,139.2,134.35,135.8,136.23,1810583.0,6593.0,246646819.0,672495.0,37.14,4.85,-3.15
2016-07-19,136.55,139.4,136.55,137.85,137.98,1074763.0,4613.0,148298760.0,311883.0,29.02,2.85,1.3
2016-07-18,137.35,141.25,136.15,137.0,139.06,1473429.0,7121.0,204889328.0,274380.0,18.62,5.1,-0.35
2016-07-15,136.1,138.0,135.6,137.15,136.83,908540.0,4895.0,124314321.0,142054.0,15.64,2.4,1.05
2016-07-14,136.2,137.4,133.75,135.7,135.63,1037737.0,5638.0,140751509.0,116462.0,11.22,3.65,-0.5
2016-07-13,135.8,139.9,134.7,135.75,137.05,2078700.0,9851.0,284895161.0,255988.0,12.31,5.2,-0.05
2016-07-12,130.0,136.15,130.0,135.3,134.39,2225919.0,11458.0,299146881.0,391172.0,17.57,6.15,5.3
2016-07-11,128.0,129.65,128.0,129.05,128.85,567853.0,3859.0,73170160.0,134951.0,23.77,1.65,1.05
2016-07-08,128.0,128.55,125.5,126.85,126.59,691173.0,2893.0,87492810.0,101951.0,14.75,3.05,-1.15
2016-07-07,125.0,128.65,124.75,127.75,127.43,1246577.0,6748.0,158854917.0,237939.0,19.09,3.9,2.75
2016-07-05,126.4,127.35,123.0,123.6,125.07,1984550.0,5073.0,248210308.0,1258145.0,63.4,4.35,-2.8
2016-07-04,125.0,126.7,125.0,125.95,126.03,751249.0,3975.0,94677257.0,140259.0,18.67,1.7,0.95
2016-07-01,124.0,125.45,123.15,124.8,124.61,843873.0,5491.0,105152444.0,165062.0,19.56,2.3,0.8
2016-06-30,122.55,123.35,121.25,122.75,122.17,1333673.0,7453.0,162936058.0,304733.0,22.85,2.1,0.2
2016-06-29,119.5,121.3,118.7,119.95,120.25,553541.0,3555.0,66563666.0,94578.0,17.09,2.6,0.45
2016-06-28,119.9,121.0,117.8,118.05,119.07,641640.0,3946.0,76399643.0,148332.0,23.12,3.2,-1.85
2016-06-27,117.0,120.6,116.0,119.6,119.22,847246.0,5053.0,101005399.0,129173.0,15.25,4.6,2.6
2016-06-24,117.5,119.45,112.15,117.45,115.35,2083331.0,10381.0,240313608.0,282401.0,13.56,7.3,-0.05
